code,name,market,trend_frac,ann_return,turnover_60d
5864,致和證,上櫃,0.3839,0.2348,138012034.0
5508,永信建,上櫃,0.3797,0.0247,23017750.0
6739,竹陞科技,上櫃,0.3616,0.994,638999900.0
6016,康和證,上櫃,0.3517,0.1451,154004840.0
2855,統一證,上市,0.341,0.1728,302122436.0
6919,康霈*,上市,0.3305,0.7311,696679708.0
3028,增你強,上市,0.3303,0.2101,291882335.0
2903,遠百,上市,0.3188,0.0052,44518282.0
6204,艾華,上櫃,0.3171,0.0112,23327889.0
8996,高力,上市,0.3081,0.898,3354244835.0
4571,鈞興-KY,上市,0.3048,0.0644,98552494.0
8131,福懋科,上市,0.3015,0.1157,320458201.0
6239,力成,上市,0.3007,0.2526,3642228224.0
2887,台新新光金,上市,0.2957,0.1768,1934860901.0
2072,世紀風電,上市,0.2924,0.0007,103574329.0
5536,聖暉*,上櫃,0.2924,0.4085,1535665692.0
6005,群益證,上市,0.2916,0.1799,408805447.0
3693,營邦,上櫃,0.2908,0.65,889435841.0
6861,睿生光電,上市,0.2901,0.2331,237462356.0
1104,環泥,上市,0.2891,0.0606,20595836.0
1519,華城,上市,0.2883,0.8481,2476126177.0
3563,牧德,上市,0.2867,0.2233,1891964909.0
2539,櫻花建,上市,0.2867,0.2093,45071069.0
2211,長榮鋼,上市,0.285,0.1229,60314704.0
6903,巨漢,上櫃,0.285,0.3668,418126071.0
6186,新潤,上櫃,0.2842,0.1482,28227031.0
2393,億光,上市,0.2834,0.067,217324153.0
3577,泓格,上櫃,0.2834,0.2974,28137985.0
8422,可寧衛*,上市,0.2801,0.1057,307305535.0
2348,海悅,上市,0.2801,0.0382,21679759.0
3702,大聯大,上市,0.2784,0.1639,1676431058.0
5291,邑昇,上櫃,0.2784,0.1316,117980031.0
4771,望隼,上市,0.2778,0.0549,39107300.0
3005,神基,上市,0.2776,0.1617,523391000.0
6805,富世達,上市,0.2776,0.5359,3574343650.0
3026,禾伸堂,上市,0.2776,0.4057,994120313.0
5464,霖宏,上櫃,0.2768,0.2671,27113662.0
8114,振樺電,上市,0.2751,0.2409,132897038.0
4749,新應材,上櫃,0.2748,0.4837,1888291808.0
6620,漢達,上櫃,0.2743,0.2051,29751900.0
6757,台灣虎航,上市,0.2743,0.1368,55104686.0
6831,邁科,上市,0.2739,0.6045,659443504.0
2851,中再保,上市,0.2727,0.0806,65392049.0
5439,高技,上櫃,0.2727,0.414,1714489423.0
8932,智通*,上櫃,0.2727,0.8865,256718620.0
3081,聯亞,上櫃,0.2727,0.5007,6739321425.0
9941,裕融,上市,0.271,0.0036,132604205.0
3131,弘塑,上櫃,0.271,0.5141,2403855288.0
6510,精測,上櫃,0.2702,0.3687,2791430915.0
2383,台光電,上市,0.2702,0.9072,10953144172.0
1563,巧新,上市,0.2694,0.0059,33443895.0
6727,亞泰金屬,上櫃,0.2685,0.4195,796713750.0
3209,全科,上市,0.2685,0.2016,207988394.0
2449,京元電子,上市,0.2677,0.4469,8738869486.0
4967,十銓,上市,0.2669,0.2554,2986842664.0
3312,弘憶股,上市,0.2669,0.2593,114273240.0
6944,兆聯實業,上市,0.2665,1.0936,798731307.0
2535,達欣工,上市,0.2661,0.1647,38672874.0
3030,德律,上市,0.2644,0.403,1514365898.0
5289,宜鼎,上櫃,0.2644,0.5986,5857501588.0
6187,萬潤,上櫃,0.2644,0.5094,3517905835.0
6469,大樹,上櫃,0.2636,0.0622,42508562.0
2454,聯發科,上市,0.2628,0.3305,28303763088.0
4577,達航科技,上櫃,0.2619,0.2439,170128696.0
6442,光聖,上市,0.2611,1.2341,5119066995.0
9933,中鼎,上市,0.2603,0.0343,191910357.0
6515,穎崴,上市,0.2603,0.9741,2893833870.0
6913,鴻呈,上櫃,0.2603,0.1118,51417464.0
6609,瀧澤科,上櫃,0.2595,0.0746,24862450.0
6141,柏承,上市,0.2595,0.0038,54379930.0
6691,洋基工程,上市,0.2586,0.4695,322353340.0
6613,朋億*,上櫃,0.2586,0.3266,86505200.0
2404,漢唐,上市,0.2578,0.3833,4233469014.0
3167,大量,上市,0.2578,0.6949,669231540.0
8046,南電,上市,0.257,0.1849,14584563988.0
3032,偉訓,上市,0.257,0.1457,54507118.0
8289,泰藝,上櫃,0.2545,0.3203,183707414.0
6664,群翊,上櫃,0.2545,0.3865,676216047.0
6189,豐藝,上市,0.2537,0.0881,43330961.0
2429,銘旺科,上市,0.2537,0.1927,21202757.0
6873,泓德能源,上市,0.2537,0.0419,59903453.0
2486,一詮,上市,0.2521,0.536,1340343231.0
2812,台中銀,上市,0.2512,0.168,273714805.0
2548,華固,上市,0.2512,0.0681,281696074.0
3213,茂訊,上櫃,0.2512,0.1724,43074364.0
3556,禾瑞亞,上櫃,0.2512,0.0182,25498251.0
8112,至上,上市,0.2512,0.1977,1787255387.0
8103,瀚荃,上市,0.2504,0.1359,185561094.0
